username,followers_count,following_count,tweet_count,listed_count,topic_id,twitter_user_id,retrieved_date
virenrasquinha,179813,909,6610,137,1,160244513,3/29/2023
SakshiMalik,538420,192,1016,210,1,728173090027520000,3/29/2023
ararewoman,3880,3112,19083,18,1,764628864140189696,3/29/2023
cottoncandyme7,1388,489,14746,1,12,367138498,3/29/2023
DrShawnPaul,3489,1750,3076,7,5,1444499792189542400,3/29/2023
HugeJackoNFT,5050,620,678,3,12,158790527,3/29/2023
_LoveMy_Beautyy,3001,1765,92073,5,12,1529672863,3/29/2023
ThaiTrainGuide,6107,17,3361,46,12,1519829986752208897,3/29/2023
AlfieJapanorama,10439,2638,106939,234,1,81983730,3/29/2023
PaprikaGirl_JP,10336,1415,38210,107,1,946669879385456640,3/29/2023
mrjeffu,14327,2363,9212,222,5,15709520,3/29/2023
kawaiihanachiya,23607,24409,39142,93,5,141734114,3/29/2023
noealz,46583,3344,19740,592,3,283244090,3/29/2023
JJ_Lin,1081232,123,9017,1331,3,25497636,3/29/2023
marklee4444,5450,420,1736,10,5,1513141364350889989,3/29/2023
veratheape,30502,1758,3355,107,3,1357202360292941826,3/29/2023
Jungkook_SNS,74949,156,25569,751,5,1226493993141145601,3/29/2023
nameweemusic,15914,933,3996,92,11,194521830,3/29/2023
mirabai_chanu,431940,421,2231,140,15,997046099088166912,3/29/2023
dhruvkapilaa,832,142,114,6,7,2341671930,3/29/2023
DesmondDoss555,15685,99,1314,209,14,1400453100217913351,3/29/2023
parrysingh,26751,1003,16623,197,15,15143770,3/29/2023
heyitssharla,156430,195,52281,539,9,555702683,3/29/2023
zicoofficial_,151423,117,2787,19,5,1385295014507384834,3/29/2023
TrulyNoah,165032,322,17594,66,5,519332561,3/29/2023
syasyapuff,665,672,17614,8,3,25503818,3/29/2023
Real_n3xt,9139,1046,22087,44,9,3087421864,3/29/2023
cheesie,23446,123,28198,262,15,8552342,3/29/2023
EmirichuYT,510300,954,11084,502,5,893714295564910592,3/29/2023
wolfychuuu,166928,173,3164,280,3,902059487065915396,3/29/2023
Merryweatherey,1129379,994,12871,2313,7,2463867379,3/29/2023
Norman_Maggot,272229,3772,41731,1240,7,63025162,3/29/2023
ProjektMelody,619052,1521,10558,1547,3,1148121315943075841,3/29/2023
CovfefeChan,364084,502,91534,648,7,1049054859520090113,3/29/2023
Veibae,548993,494,5468,1451,13,777264456871149568,3/29/2023
jaiyieee,1620262,193,69846,58,11,317755902,3/29/2023
